rec_number	first_author	year	pmid	title	abstract
122	Bonner, J T	1953		Size in relation to the rate of migration in the slime mold Dictyostelium discoideum.	
2526	Cohen, A L	1953		The effect of ammonia on morphogenesis in the Acrasieae.	
3453	Cohen, A L	1953	13139284	The isolation and culture of opsimorphic organisms I. Occurrence and isolation of opsimorphic organisms from soil and culture of Acrasieae on a standard medium.	
2733	Gamble, W J	1953		Orientation of the slime mold Dictyostelium discoideum to light.	
3543	Paddock, R B	1953	13113190	The appearance of amoebae tracks in cultures of Dictyostelium discoideum.	
3550	Pavillard, J	1953		Ordre des Acrasies.	
1549	Shaffer, B M	1953	13063491	Aggregation in cellular slime moulds: in vitro isolation of acrasin.	
509	Sussman, M	1953		Synergistic interactions between morphologically deficient variants of the slime mold, Dictyostelium discoideum.	abstract G35
2048	Sussman, R R	1953	13139286	Cellular differentiation in Dictyosteliaceae: heritable modifications of the developmental pattern.	
3613	Wilson, C M	1953		Cytological study of the life cycle of Dictyostelium.	
8928	Bradley, S G	1954		Factors affecting the aggregation stage in the development of the cellular slime molds	
4305	Bradley, S G	1954		Physiology of the aggregation stage in the development of the cellular slime molds.	abstract G23
621	Gregg, J H	1954		Nitrogen metabolism of the slime mold Dictyostelium discoideum during growth and morphogenesis.	
1404	Sussman, M	1954	13130832	Synergistic and antagonistic interactions between morphogenetically deficient variants of the slime mould Dictyostelium discoideum.	
3254	Sussman, M	1954	13189586	A protein growth factor of bacterial origin required by the cellular slime mold.	
2089	Sussman, M	1954		Physiology of developmental variants among the cellular slime molds.	abstract G57
112	Bonner, J T	1955		A histochemical study of differentiation in the cellular slime molds.	
5912	Cormier, J L	1955		The study of macrocysts in Dictyostelium.	
1207	Cormier, J L	1955		The macrocysts of Dictyostelium.	abstract G11
3495	Hirschberg, E	1955	13239548	Some contributions of microbiology to cancer research.	
3496	Hirschberg, E	1955	14364505	Effect of test compounds on the aggregation and culmination of the slime mold Dictyostelium discoideum.	
5080	Hirschberg, E	1955		Inhibition of aggregation of Dictyostelium discoideum by a series of diaminopyrimidines and dihydrotriazines.	abstract 51
7029	Krivanek, J O	1955		Alkaline phosphatase activity in the developing slime mold, Dictyostelium discoideum, Raper.	
1208	Raper, K B	1955		Dictyostelium polycephalum n. sp., a cellular slime mold with coremiform sorocarps.	abstract G12
1405	Sussman, M	1955	13278478	'Fruity' and other mutants of the cellular slime mould, Dictyostelium discoideum: a study of developmental aberrations.	
2127	Sussman, M	1955		Developmental physiology of the ameboid slime molds.	
3253	Sussman, M	1955		Interactions among variant and wild-type strains of cellular slime mold across thin agar membranes.	
3596	Takeuchi, I	1955		Studies on the morphogenesis of the slime mold Dictyostelium discoideum.	
372	Agnihothrudu, V	1956		Occurrence of Dictyosteliaceae in the rhizosphere of plants in Southern India.	
1209	Borg, A	1956		A method for estimating numbers of ameboid cells in soil or natural materials.	abstract A33
155	Bradley, S G	1956		Environmental factors affecting the aggregation of the cellular slime mold Dictyostelium discoideum.	
609	Gregg, J H	1956	13319664	Serological investigations of cell adhesion in the slime molds, Dictyostelium discoideum, Dictyostelium purpureum, and Polysphondylium violaceum.	
629	Gregg, J H	1956	13385289	Biochemical events accompanying stalk formation in the slime mold Dictyostelium discoideum.	
619	Gregg, J H	1956	13367108	Dry weight loss during culmination of the slime mold, Dictyostelium discoideum.	
2929	Kostellow, A	1956		Developmental response of Dictyostelium discoideum to some amino acids and their analogues.	
907	Krivanek, J O	1956		Alkaline phosphatase activity in the developing slime mold Dictyostelium discoideum Raper.	
3084	LaBudde, B F	1956		A cytological study of Dictyostelium.	
3528	Muhlethaler, K	1956		Electron microscopic study of the slime mold Dictyostelium discoideum.	
2041	Raper, K B	1956	13346033	Dictyostelium polycephalum n.sp.: a new cellular slime mould with coremiform fructifications.	
3560	Raper, K B	1956		Factors affecting growth and differentiation in simple slime molds.	
1550	Shaffer, B M	1956		Acrasin, the chemotactic agent in cellular slime moulds.	
1551	Shaffer, B M	1956	13337336	Properties of acrasin.	
1406	Sussman, M	1956		On the relation between growth and morphogenesis in the slime mold Dictyostelium discoideum.	
3581	Sussman, M	1956	13363354	The biology of the cellular slime molds.	
1407	Sussman, M	1956	13337335	Fractionation of acrasin, a specific chemotactic agent for slime mold aggregation.	
2166	Sussman, M	1956		Cellular interactions during the development of the cellular slime mold.	14th Growth Symposium
1976	Whittingham, W F	1956		Inhibition of normal pigment synthesis in spores of Dictyostelium purpureum.	
93	Blaskovics, J C	1957		Encystment stages of Dictyostelium.	
100	Bonner, J T	1957		A theory of the control of differentiation in the cellular slime molds.	Reprinted in 1976 in the 50th anniversary special issue (1926-1976) of the Quart. Rev. Biol. (Stony Brook Foundation, NY)
2054	Bonner, J T	1957	13491658	The role of humidity in the differentiation of the cellular slime molds.	
2633	Ennis, H L	1957		A comparative study of the aggregateless mutants of the cellular slime mold Dictyostelium discoideum.	
572	Gezelius, K	1957	13414788	Morphology and fine structure of the slime mold Dictyostelium discoideum.	
3520	Gregg, J	1957		Serological investigation of aggregateless variants of the slime mold, Dictyostelium discoideum.	
3516	Krivanek, J O	1957		A method for embedding small specimens.	
1552	Shaffer, B M	1957		Apects of aggregation in cellular slime moulds. I. Orientation and chemotaxis.	
1553	Shaffer, B M	1957		Properties of slime moulds amoebae of significance for aggregation.	
1554	Shaffer, B M	1957		Variability of behaviour of aggregating cellular slime moulds.	
2040	Whittingham, W F	1957		Environmental factors influencing the growth and fructification of Dictyostelium polycephalum.	
1960	Wilson, C M	1957		Further cytological studies in the Acrasiales.	
101	Bonner, J T	1958		The relation of spore formation to recombination.	
110	Bonner, J T	1958	13575646	Cell mixtures of different species and strains of cellular slime moulds.	
390	Ennis, H L	1958		The initiator cell for slime mold aggregation.	
391	Ennis, H L	1958	13525660	Synergistic morphogenesis by mixtures of Dictyostelium discoideum wild-type and aggregateless mutants.	
5928	Filosa, M F	1958		Heterocytosis in cellular slime molds.	
2757	Gregg, J H	1958	13597894	Surface antigen defects contributing to developmental failure in aggregateless variants of the slime mold, Dictyostelium discoideum.	
908	Krivanek, J O	1958	13563787	The histochemical localization of certain biochemical intermediates and enzymes in the developing slime mold, Dictyostelium discoideum Raper.	
1313	Raper, K B	1958	13525624	Acytostelium leptosomum: A unique cellular slime mould with an acellular stalk.	
1555	Shaffer, B M	1958		Integration in aggregating cellular slime moulds.	
3583	Slifkin, M K	1958	13575484	Infrared spectroscopy as a new method for assessing the nutritional requirements of the slime mold Dictyostelium discoideum.	
1408	Sussman, M	1958		A developmental analysis of cellular slime mold aggregation.	
3427	Sussman, R R	1958		The chemotactic complex responsible for cellular slime mold aggregation	
3621	Wright, B E	1958		Effect of steroids on aggregation in the slime mold Dictyostelium discoideum.	abstract no. P63
3618	Wright, B E	1958		Enzyme patterns during differentiation in the slime mold.	
506	Bonner, J T	1959		The cellular slime molds.	
3439	Bonner, J T	1959		Evidence for the sorting out of cells in the development of the cellular slime mold.	
3440	Bonner, J T	1959	13802556	Differentiation in social amoebae.	\ Republished in: Readings from Scientific American - Cellular and Organismal Biology. Ed. D. Kennedy. Publ. Freeman; San Francisco (1974).
3460	DeHaan, R L	1959	13815444	The effects of the chelating agent ethylene diamine tetra-acetic acid on cell adhesion in the slime mould Dictyostelium discoideum.	
416	Faust, R G	1959	13821743	Permeability studies on the amoebae of the slime mold, Dictyostelium mucoroides.	
4387	Gerisch, G	1959		Ein Submerskulturverfahren fur entwicklungsphysiologische Untersuchungen an Dictyostelium discoideum.	
566	Gezelius, K	1959	13827712	The ultrastructure of cells and cellulose membranes in Acrasiae.	
4417	Heftmann, E	1959		Identification of a sterol with acrasin activity in a slime mold. (Communication to the editor)	
909	Krivanek, J O	1959		Chromatographic analyses of amino acids in the developing slime mold, Dictyostelium discoideum Raper.	
2310	Rorke, J	1959		Influences on the spatial arragements of Dictyostelium discoideum.	
1409	Sussman, M	1959		The role of the initiator cell in slime mold aggregation.	
3384	Wright, B E	1959	13628656	Biochemical differentiation in the slime mold.	
5086	Wright, B E	1959		Protein and amino acid behavior during differentiation in the slime mold.	
2053	Bonner, J T	1960		Development in the cellular slime molds: The role of cell division, cell size, and cell number.	Symp. Soc. Study Devel. Growth
2651	Filosa, M	1960		The effects of ethionine on the morphogenesis of cellular slime molds.	
529	Gerisch, G	1960		Zellfunktionen und Zellfunktionwechsel in der Entwicklung von Dictyostelium discoideum. I. Zellagglutination und Induktion der Fruchtkorperpolaritat.	
610	Gregg, J H	1960		Surface antigen dynamics in the cellular slime mold Dictyostelium discoideum.	
3381	Heftmann, E	1960		The isolation of delta22-stigmasten-3beta-ol from Dictyostelium discoideum.	
4237	Hostak, M	1960		Induced aggregation of myxamoebae in Acytostelium.	alkaloids
4637	Hostak, M B	1960		The induction of cell aggregation in Acytostelium by alkaloids.	abstract no. G28
