rec_number	first_author	year	pmid	title	abstract
9351	Breitsprecher, D.	2009	19763982	Analysis of Actin Assembly by In Vitro TIRF Microscopy	Since directed movement toward an extracellular chemoattractant requires rapid and continuous reorgani-zation of the actin cytoskeleton to form complex structures such as a protruding lamellipodium, it is of great interest to analyze and understand the individual contribution of proteins specifically involved in this process. Over the last decade, enormous progress has been made toward understanding the versatile molecular mechanisms underlying actin-based cell motility and the regulation of site-specific F-actin assembly and disassembly. In spite of this wealth of knowledge and due to the constant discovery of novel regulatory factors, many questions remain to be answered. In this chapter, we describe a powerful method that allows to study the effects of actin-binding proteins on the assembly of single filaments by in vitro total internal reflection fluorescence (TIRF) microscopy using purified proteins and fluorescently labeled actin.
9357	Bretschneider, T.	2009	19348770	The three-dimensional dynamics of actin waves, a model of cytoskeletal self-organization	Actin polymerization is typically initiated at specific sites in a cell by membrane-bound protein complexes, and the resulting structures are involved in specialized cellular functions, such as migration, particle uptake, or mitotic division. Here we analyze the potential of the actin system to self-organize into waves that propagate on the planar, substrate-attached membrane of a cell. We show that self-assembly involves the ordered recruitment of proteins from the cytoplasmic pool and relate the organization of actin waves to their capacity for applying force. Three proteins are shown to form distinct three-dimensional patterns in the actin waves. Myosin-IB is enriched at the wave front and close to the plasma membrane, the Arp2/3 complex is distributed throughout the waves, and coronin forms a sloping layer on top of them. CARMIL, a protein that links myosin-IB to the Arp2/3 complex, is also recruited to the waves. Wave formation does not depend on signals transmitted by heterotrimeric G-proteins, nor does their propagation require SCAR, a regulator upstream of the Arp2/3 complex. Propagation of the waves is based on an actin treadmilling mechanism, indicating a program that couples actin assembly to disassembly in a three-dimensional pattern. When waves impinge on the cell perimeter, they push the edge forward; when they reverse direction, the cell border is paralyzed. These data show that force-generating, highly organized supramolecular networks are autonomously formed in live cells from molecular motors and proteins controlling actin polymerization and depolymerization.
9325	Brown, M. W.	2009	19692665	"Phylogeny of the ""forgotten"" cellular slime mold, Fonticula alba, reveals a key evolutionary branch within Opisthokonta"	The shared ancestry between Fungi and animals has been unequivocally demonstrated by abundant molecular and morphological data for well over a decade. Along with the animals and Fungi, multiple protists have been placed in the supergroup Opisthokonta making it exceptionally diverse. In an effort to place the cellular slime mold Fonticula alba, an amoeboid protist with aggregative, multicellular fruiting, we sequenced five nuclear encoded genes; small subunit ribosomal RNA, actin, beta-tubulin, elongation factor 1-alpha, and the cytosolic isoform of heat shock protein 70 for phylogenetic analyses. Molecular trees demonstrate that Fonticula is an opisthokont that branches sister to filose amoebae in the genus Nuclearia. Fonticula plus Nuclearia are sister to Fungi. We propose a new name for this well-supported clade, Nucletmycea, incorporating Nuclearia, Fonticula, and Fungi. Fonticula represents the first example of a cellular slime mold morphology within Opisthokonta. Thus, there are four types of multicellularity in the supergroup - animal, fungal, colonial, and now aggregative. Our data indicate that multicellularity in Fonticula evolved independent of that found in the fungal and animal radiations. With the rapidly expanding sequence and genomic data becoming available from many opisthokont lineages, Fonticula may be fundamental to understanding opisthokont evolution as well as any possible commonalities involved with the evolution of multicellularity.
9384	Bruce, T.	2009	3355133	Functional interaction of RacF2 and the WASp family protein, scar, in the Rab8 signaling pathway of the social amoeba, Dictyostelium discoideum	The small GTPase, Rab8, has been shown to play a role in cell-cell adhesion and restructuring of the actin cytoskeleton in both mammalian cells and the lower eukaryote, Dictyostelium discoideum . In D. discoideum , cells expressing constitutively activated Rab8 (Rab8CA) display reduced cell-cell adhesion and increased actin-rich protrusions as well as delayed aggregation. Rab8 has been implicated in the restructuring of the actin cytoskeleton, but no specific pathway for this action has been identified. In other systems, actin-rich membrane extension formation is regulated by WASp family proteins, including SCAR. Here we provide evidence of a functional relationship between the WASp family protein, SCAR, and Rab8. This provides the first genetic evidence in any cell system of a functional interaction between Rab8 and a WASp family protein. SCAR is known to be directly activated by Rac. Our results indicate that Rab8 interacts directly with RacF2 to rescue aggregation in cells expressing Rab8CA. While we were unable to demonstrate that RacF2 interacts directly with SCAR, we have demonstrated that RacF2 likely interacts directly with Rab8 to control cell-cell adhesion. Additionally, we have begun to conduct similar experiments in mammalian cells. To this end, we have developed and expressed EGFP (enhanced green fluorescent protein) chimeras of wildtype as well as constitutively active and dominant negative mutant forms of Rab8 in mammalian cells. In addition, we have designed a Rab8 activation assay based on its interaction with GCK, a germinal center kinase, which interacts directly with the active, GTP-bound form of Rab8. We have also investigated the effect of expression of mutant versions of Rab8 on GCK intracellular levels.
9317	Brzostowski, J. A.	2009	19721884	The Elmo family forms an ancient group of actin-regulating proteins	The Elmo protein family members are important mediators of small G protein activity, regulating actin-mediated processes such as chemotaxis and engulfment. Until recently,1 Elmo function has not been explored in professional phagocytes such as Dictyostelium discoideum. We discuss the significance of this family with respect to pathways that regulate Rac signaling, we present a comparison of Elmo proteins between representative taxa, and discuss our findings on ElmoA, one of six Elmo proteins found in D. discoideum.
9020	Burnstock, G.	2009	19222398	Evolutionary origins of the purinergic signalling system	Purines appear to be the most primitive and widespread chemical messengers in the animal and plant kingdoms. The evidence for purinergic signalling in plants, invertebrates and lower vertebrates is reviewed. Much is based on pharmacological studies, but important recent studies have utilized the techniques of molecular biology and receptors have been cloned and characterized in primitive invertebrates, including the social amoeba Dictyostelium and the platyhelminth Schistosoma, as well as the green algae Ostreococcus, which resemble P2X receptors identified in mammals. This suggests that contrary to earlier speculations, P2X ion channel receptors appeared early in evolution, while G protein-coupled P1 and P2Y receptors were introduced either at the same time or perhaps even later. The absence of gene coding for P2X receptors in some animal groups [e.g. in some insects, roundworms (Caenorhabditis elegans) and the plant Arabidopsis] in contrast to the potent pharmacological actions of nucleotides in the same species, suggests that novel receptors are still to be discovered.
9337	Buttery, N. J.	2009	19631539	Quantification of social behavior in D. discoideum reveals complex fixed and facultative strategies	"Understanding the maintenance of cooperation requires an understanding of the nature of cheaters and the strategies used to mitigate their effects. However, it is often difficult to determine how cheating or differential social success has arisen. For example, cheaters may employ different strategies (e.g., fixed and facultative), whereas other causes of unequal fitness in social situations can result in winners and losers without cheating. To address these problems, we quantified the social success of naturally occurring genotypes of Dictyostelium discoideum during the formation of chimeric fruiting bodies, consisting of dead stalk cells and viable spores. We demonstrate that an apparent competitive dominance hierarchy of spore formation in chimera is partly due to a fixed strategy where genotypes exhibit dramatically different spore allocations. However, we also find complex, variable facultative strategies, where genotypes change their allocation in chimera. By determining the magnitude and direction of these changes, we partition facultative cheating into two forms: (1) promotion of individual fitness through selfish behaviour (""self-promotion"") and (2) coercion of other genotypes to act cooperatively. Our results demonstrate and define social interactions between D. discoideum isolates, thus providing a conceptual framework for the study of the genetic mechanisms that underpin social evolution."
9062	Chen, J.	2009	19015846	Long-term production of soluble human Fas ligand through immobilization of Dictyostelium discoideum in a fibrous bed bioreactor	The production of recombinant glycoproteins in Dictyostelium discoideum by conventional cell culture methods was limited by low cell density as well as low growth rate. In this work, cotton towel with a good adsorption capability for D. discoideum cells was used as the immobilization matrix in an external fibrous bed bioreactor (FBB) system. With batch cultures in the FBB, the concentration of immobilized cells in the cotton fiber carrier increased to 1.37 x 10(8) cells per milliliter after 110-h cultivation, which was about tenfold higher than the maximal cell density in the conventional free-cell culture. Correspondingly, a high concentration of soluble human Fas ligand (hFasL; 173.7 microg l(-1)) was achieved with a high productivity (23 microg l(-1) h(-1)). The FBB system also maintained a high density of viable cells for hFasL production during repeated-batch cultures, achieving a productivity of 9 approximately 10 microg l(-1) h(-1) in all three batches studied during 15 days. The repeated-batch culture using immobilized cells of D. discoideum in the FBB system thus provides a good method for long-term and high-level production of hFasL.
9026	Choe, J. M.	2009	19187549	Dictyostelium cells bind a secreted autocrine factor that represses cell proliferation	BACKGROUND: Dictyostelium cells secrete the proteins AprA and CfaD. Cells lacking either AprA or CfaD proliferate faster than wild type, while AprA or CfaD overexpressor cells proliferate slowly, indicating that AprA and CfaD are autocrine factors that repress proliferation. CfaD interacts with AprA and requires the presence of AprA to slow proliferation. To determine if CfaD is necessary for the ability of AprA to slow proliferation, whether AprA binds to cells, and if so whether the binding requires the presence of CfaD, we examined the binding and effect on proliferation of recombinant AprA. RESULTS: We find that the extracellular accumulation of AprA increases with cell density and reaches a concentration of 0.3 microg/ml near a stationary cell density. When added to wild-type or aprA- cells, recombinant AprA (rAprA) significantly slows proliferation at 0.1 microg/ml and higher concentrations. From 4 to 64 microg/ml, the effect of rAprA is at a plateau, slowing but not stopping proliferation. The proliferation-inhibiting activity of rAprA is roughly the same as that of native AprA in conditioned growth medium. Proliferating aprA- cells show saturable binding of rAprA to 92,000 +/- 11,000 cell-surface receptors with a KD of 0.03 +/- 0.02 microg/ml. There appears to be one class of binding site, and no apparent cooperativity. Native AprA inhibits the binding of rAprA to aprA- cells with a Ki of 0.03 mug/ml, suggesting that the binding kinetics of rAprA are similar to those of native AprA. The proliferation of cells lacking CrlA, a cAMP receptor-like protein, or cells lacking CfaD are not affected by rAprA. Surprisingly, both cell types still bind rAprA. CONCLUSION: Together, the data suggest that AprA functions as an autocrine proliferation-inhibiting factor by binding to cell surface receptors. Although AprA requires CfaD for activity, it does not require CfaD to bind to cells, suggesting the possibility that cells have an AprA receptor and a CfaD receptor, and activation of both receptors is required to slow proliferation. We previously found that crlA- cells are sensitive to CfaD. Combined with the results presented here, this suggests that CrlA is not the AprA or CfaD receptor, and may be the receptor for an unknown third factor that is required for AprA and CfaD activity.
9314	Chuai, M.	2009	19747557	Imaging cell signalling and movement in development	Imaging is a method of choice to investigate the complex spatio-temporal cellular dynamics and the signalling pathways that control them during development. The ability to tag many proteins in vivo makes it possible to analyse the detailed dynamics of these interactions ranging over several orders of magnitude; from the study of single molecule events on the millisecond and nanometre scale up to the complex three-dimensional behaviour of cells in tissues on the millimetre scale over time periods of hours to days. Great advances are being made in the detailed study of molecular processes using high resolution imaging techniques in transparent samples close to the surface of cells or tissues, where light scattering is minimal. The major challenge is to translate some of these methods to the study of cells and tissues in their native 3D environment. These imaging methods require novel and innovative analysis methods to fully exploit the information available in these data. We will illustrate some of these points in the investigation of the development of the cellular slime mould Dictyostelium discoideum and the study of cell behaviours during gastrulation in the chick embryo.
9652	Cornelis, P.	2009	19729405	Shielding, a new pathogen defence mechanism against PMNs	"Cornelis, PierreCommentEnglandMicrobiology. 2009 Nov;155(Pt 11):3474-5. Epub 2009 Sep 3."
9659	Driscoll, M.	2009	20059194	The adventures of Dicty, the Dictyostelium cell	"Driscoll, MeghanKopace, RaelLi, LinjieMcCann, ColinWatts, JohnFourkas, John TLosert, WolfgangUnited StatesChaos. 2009 Dec;19(4):041110."
9022	Duran, M. B.	2009	19213599	Dictyostelium discoideum Paxillin Regulates Actin-Based Processes	Paxillin is a key player in integrating the actin cytoskeleton with adhesion, and thus is essential to numerous cellular processes, including proliferation, differentiation, and migration in animal cells. PaxB, the Dictyostelium discoideum orthologue of paxillin, has been shown to be important for adhesion and development, much like its mammalian counterpart. Here, we use the overproduction of PaxB to gain better insight into its role in regulating the actin cytoskeleton and adhesion. We find that PaxB-overexpressing (PaxBOE) cells can aggregate and form mounds normally, but are blocked in subsequent development. This arrest can be rescued by addition of wild-type cells, indicating a non-cell autonomous role for PaxB. PaxBOE cells also have alterations in several actin-based processes, including adhesion, endocytosis, motility, and chemotaxis. PaxBOE cells exhibit an EDTA-sensitive increase in cell-cell cohesion, suggesting that PaxB-mediated adhesion is Ca(2+) or Mg(2+) dependent. Interestingly, cells overexpressing paxB are less adhesive to the substratum. In addition, PaxBOE cells display decreased motility under starved conditions, decreased endocytosis, and are unable to efficiently chemotax up a folate gradient. Taken together, the data suggest that proper expression of PaxB is vital for the regulation of development and actin-dependent processes.
9285	Elzie, Carrie A.	2009		Dynamic localization of G proteins in Dictyostelium discoideum	Extracellular stimuli exert their effects on eukaryotic cells via serpentine G-protein-coupled receptors and mediate a vast number of physiological responses. Activated receptors stimulate heterotrimeric G-proteins, consisting of three subunits, ?, ? and ?. In Dictyostelium discoideum, cAMP binds to the cAMP receptor cAR1, which is coupled to the heterotrimer containing the G?2 subunit. These studies provide in vivo evidence as to how receptors influence the localization of the G-protein complex prior to and after ligand binding. Previous work has shown that the state of the heterotrimer could be monitored by changes in fluorescence (or Förster) resonance energy transfer (FRET) between the ?2- and ?-subunits of D. discoideum. We now report the kinetics of G-protein activation as a loss of FRET prior to and after cAMP addition by using total internal reflection fluorescence microscopy (TIRFM). We also performed photobleaching experiments to measure G-protein recovery times. Our data show that inactive and active G-proteins cycle between the cytosol and plasma membrane. These data suggest that cAR1 activation slows the membrane dissociation (`off') rate of the ?2 subunit, while simultaneously promoting ??-subunit dissociation. Class Descriptors: NAL: QH301.J6
9302	Elzie, C. A.	2009	19763979	FRAP Analysis of Chemosensory Components of Dictyostelium	Dictyostelium discoideum is a useful cell model for studying protein-protein interactions and deciphering complex signaling pathways similar to those found in mammalian systems. Many of these interactions were analyzed using classical in vitro biochemical techniques. However, with the accessibility of fluorescently tagged proteins, extensive protein networks are now being mapped out in living cells using a variety of microscopic techniques. One such technique, fluorescent recovery after photobleaching (FRAP), has been used in Dictyostelium to investigate a number of cellular processes including actin and cytoskeleton dynamics during chemotaxis and cytokinesis (J. Muscle Res. Cell Motil. 23:639-649, 2002; Biophys. J. 81:2010-2019, 2001; Mol. Biol. Cell 16:4256-4266, 2005), to follow trafficking of proteins to organelles such as the membrane, nucleus, and endoplasmic reticulum (Development 130:797-804, 2003; J. Cell Biol. 154:137-146, 2001), and to understand the role of proteins in cell adhesion during motility and division (Mol. Biol. Cell 18:4074-4084, 2007; J. Cell Sci. 120:4302-4309, 2007). FRAP is a powerful tool that should provide a vast amount of information on the mobility of a number of proteins, not only in Dictyostelium, but in many organisms. This study will lay out the methods of conducting FRAP experiments in Dictyostelium and discuss the large amount of knowledge which can be gained by adopting this as a common technique.
9037	Fedorov, R.	2009	19122661	The mechanism of pentabromopseudilin inhibition of myosin motor activity	We have identified pentabromopseudilin (PBP) as a potent inhibitor of myosin-dependent processes such as isometric tension development and unloaded shortening velocity. PBP-induced reductions in the rate constants for ATP binding, ATP hydrolysis and ADP dissociation extend the time required per myosin ATPase cycle in the absence and presence of actin. Additionally, coupling between the actin and nucleotide binding sites is reduced in the presence of the inhibitor. The selectivity of PBP differs from that observed with other myosin inhibitors. To elucidate the binding mode of PBP, we crystallized the Dictyostelium myosin-2 motor domain in the presence of Mg(2+)-ADP-meta-vanadate and PBP. The electron density for PBP is unambiguous and shows PBP to bind at a previously unknown allosteric site near the tip of the 50-kDa domain, at a distance of 16 A from the nucleotide binding site and 7.5 A away from the blebbistatin binding pocket.
9075	Fey, P.	2009	18974179	dictyBase--a Dictyostelium bioinformatics resource update	dictyBase (http://dictybase.org) is the model organism database for Dictyostelium discoideum. It houses the complete genome sequence, ESTs and the entire body of literature relevant to Dictyostelium. This information is curated to provide accurate gene models and functional annotations, with the goal of fully annotating the genome. This dictyBase update describes the annotations and features implemented since 2006, including improved strain and phenotype representation, integration of predicted transcriptional regulatory elements, protein domain information, biochemical pathways, improved searching and a wiki tool that allows members of the research community to provide annotations.
9291	Fountain, S. J.	2009	19823779	Neurotransmitter Receptor Homologues of Dictyostelium discoideum	The social amoeba Dictyostelium discoideum is a genetically amenable eukaryotic cell which displays many animal cell traits and has been used to study cellular signalling for over 30 years. Recently studies have highlighted the roles that molecules associated with synaptic transmission in animals, such as glutamate, GABA and ATP play in cellular differentiation and homeostasis in this simple organism. This short review summarises the evidence for the existence of both ionotropic and metabotropic families of neurotransmitter receptors in Dictyostelium.
9658	Fountain, S. J.	2009	19015952	An evolutionary history of P2X receptors	Adenosine triphosphate (ATP) is an ancient and fundamentally important biological molecule involved in both intracellular and extracellular activities. P2X ionotropic and P2Y metabotropic receptors have been cloned and characterised in mammals. ATP plays a central physiological role as a transmitter molecule in processes including the sensation of pain, taste, breathing and inflammation via the activation of P2X receptors. P2X receptors are structurally distinct from glutamate and Cys-loop/nicotinic receptors and form the third major class of ligand-gated ion channel. Yet, despite the importance of P2X receptors, both as physiological mediators and therapeutic targets, the evolutionary origins and phylogenicity of ATP signalling via P2X receptors remain unclear.
9330	Francione, L.	2009	19638422	Legionella pneumophila multiplication is enhanced by chronic AMPK signalling in mitochondrially diseased Dictyostelium cells	Human patients with mitochondrial diseases are more susceptible to bacterial infections, particularly of the respiratory tract. To investigate the susceptibility of mitochondrially diseased cells to an intracellular bacterial respiratory pathogen, we exploited the advantages of Dictyostelium discoideum as an established model for mitochondrial disease and for Legionella pneumophila pathogenesis. Legionella infection of macrophages involves recruitment of mitochondria to the Legionella-containing phagosome. We confirm here that this also occurs in Dictyostelium and investigate the effect of mitochondrial dysfunction on host cell susceptibility to Legionella. In mitochondrially diseased Dictyostelium strains, the pathogen was taken up at normal rates, but it grew faster and reached counts that were twofold higher than in the wild-type host. We reported previously that other mitochondrial disease phenotypes for Dictyostelium are the result of the activity of an energy-sensing cellular alarm protein, AMP-activated protein kinase (AMPK). Here, we show that the increased ability of mitochondrially diseased cells to support Legionella proliferation is suppressed by antisense-inhibiting expression of the catalytic AMPKalpha subunit. Conversely, mitochondrial dysfunction is phenocopied, and intracellular Legionella growth is enhanced, by overexpressing an active form of AMPKalpha in otherwise normal cells. These results indicate that AMPK signalling in response to mitochondrial dysfunction enhances Legionella proliferation in host cells.
9295	Friedberg, F.	2009	19779846	Single and multiple CH (calponin homology) domain containing multidomain proteins in Dictyostelium discoideum: an inventory	We present an inventory of single or multiple calponin homology (CH) domain containing proteins of Dictyostelium discoideum. A multiple alignment and a phylogenetic tree of all 60 CH domains found in 36 proteins showed that most CH domains can be assigned to one of 6 types. We have then distributed the proteins into several classes according to the type and arrangement of the CH domains. Most proteins belong to the class of ABD (actin-binding domain)-forming CH tandems (CH1-CH2) of the alpha-actinin and fimbrin families or to the class of CH3 domain-bearing proteins. There are a few examples of proteins with a single CH1 or CH2 domain, one with a CH1-CH1 doublet and a single representative of the CHe class of microtubule-binding proteins. A comparison with CH domain proteins in Homo sapiens suggests that while the individual domains are available in both species, the existence of identical multidomain proteins in toto is rare. Fimbrin 1, alpha-actinin and EB1 appear as perfect orthologs in both species, whereas filamin and interaptin may represent ancestral forms of human filamin and nesprins. In four more cases (NAV/Unc-53-, smoothelin-, transgelin- and Gas2-related proteins) functional data are needed in order to establish a potential relationship with a human counterpart. Although extensive data exist for a few of the D. discoideum CH proteins, most remain to be characterized and our analysis may help predicting some of their properties.
9035	Froquet, R.	2009	19131953	Dictyostelium discoideum: a model host to measure bacterial virulence	Dictyostelium amoebae have been used as a host model to measure virulence of a wide range of bacterial pathogens. The simple protocol described here takes advantage of the ability of Dictyostelium to grow and form plaques on a lawn of nonpathogenic bacteria but not on virulent bacteria. This assay can be modulated to measure the virulence of different bacterial pathogens. By adjusting various parameters such as cell numbers or media, a more quantitative measure of bacterial virulence can also be obtained. The entire procedure takes about 5 h to compete, and up to 2 further weeks may be required for plaques to form on the bacterial lawn.
9239	Garcia, G. L.	2009	19477920	The Group Migration of Dictyostelium Cells Is Regulated by Extracellular Chemoattractant Degradation	Monitoring Editor: Jean E. Schwarzbauer Starvation of Dictyostelium induces a developmental program where cells form an aggregate that eventually differentiates into a multicellular structure. The aggregate formation is mediated by directional migration of individual cells that quickly transition to group migration where cells align in a head-to-tail manner to form streams. Cyclic AMP acts as a chemoattractant and its production, secretion, and degradation are highly regulated. A key protein is the extracellular phosphodiesterase, PdsA. In this study we examine the role and localization of PdsA during chemotaxis and streaming. We find that pdsA(-) cells respond chemotactically to a narrower range of chemoattractant concentrations compared with WT cells. Moreover, unlike WT cells, pdsA(-) cells do not form streams at low cell densities and form unusual thick and transient streams at high cell densities. We find that the intracellular pool of PdsA is localized to the ER, which may provide a compartment for storage and secretion of PdsA. As we find that cAMP synthesis is normal in cells lacking PdsA, we conclude that signal degradation regulates the external cAMP gradient field generation and that the group migration behavior of these cells is compromised even though their signaling machinery is intact.
9434	Gateva, G.	2009		The Ste20-like kinase DstC regulates phagocytosis in Dictyostelium discoideum	"Dictyostelium discoideum, a soil amoeba and professional phagocyte that mainly feeds on bacteria, can be seen as a primitive form of macrophage. To engulf particles phagocytic cells depend mainly on the dynamics of the actin cytoskeleton. Here we describe the Ste20-like kinase DstC as a regulator of the actin driven process of phagocytosis. Different members of the Ste20-like serine/threonine kinases were shown to finely tune chemotaxis (Arasada et al. (2006) Eur. J. Cell Biol., 85, 1059-1068) and to regulate late stages of cytokinesis (Rohlfs et al. (2007) J. Cell Sci., 120, 4345-4354) in D. discoideum. The catalytic domain of DstC is most similar to the mammalian kinases Mst1/Krs2 and Mst2/Krs1, which were shown to modulate cell growth and apoptosis. DstC localizes to actin-rich phagocytic cups during bacteria and yeast uptake. In contrast to actin, which usually disappears as soon as the particle is completely engulfed, the kinase DstC stays at the membrane of the phagosome for several minutes. We could map thesorting-signal that localizes DstC to phagocytic cups and early phagosomes to about 90 amino acids in the Cterminal half of the protein. In addition, we show that the gene knockout for DstC has a severe phagocytosis defect. The data suggest that DstC is an important regulator of phagocytosis in D. discoideum."
9655	Gaudet, P.	2009	20157489	Collaborative annotation of genes and proteins between UniProtKB/Swiss-Prot and dictyBase	UniProtKB/Swiss-Prot, a curated protein database, and dictyBase, the Model Organism Database for Dictyostelium discoideum, have established a collaboration to improve data sharing. One of the major steps in this effort was the 'Dicty annotation marathon', a week-long exercise with 30 annotators aimed at achieving a major increase in the number of D. discoideum proteins represented in UniProtKB/Swiss-Prot. The marathon led to the annotation of over 1000 D. discoideum proteins in UniProtKB/Swiss-Prot. Concomitantly, there were a large number of updates in dictyBase concerning gene symbols, protein names and gene models. This exercise demonstrates how UniProtKB/Swiss-Prot can work in very close cooperation with model organism databases and how the annotation of proteins can be accelerated through those collaborations.
9341	Geberth, D.	2009	19593362	Predicting the distribution of spiral waves from cell properties in a developmental-path model of Dictyostelium pattern formation	The slime mold Dictyostelium discoideum is one of the model systems of biological pattern formation. One of the most successful answers to the challenge of establishing a spiral wave pattern in a colony of homogeneously distributed D. discoideum cells has been the suggestion of a developmental path the cells follow (Lauzeral and coworkers). This is a well-defined change in properties each cell undergoes on a longer time scale than the typical dynamics of the cell. Here we show that this concept leads to an inhomogeneous and systematic spatial distribution of spiral waves, which can be predicted from the distribution of cells on the developmental path. We propose specific experiments for checking whether such systematics are also found in data and thus, indirectly, provide evidence of a developmental path.
9301	Gerisch, G.	2009	19763981	Imaging actin cytoskeleton dynamics in Dictyostelium chemotaxis	This chapter will focus on responses that the chemoattractant cyclic AMP elicits in the motility system of Dictyostelium. These cells can be permanently transfected to express cytoskeleton-associated proteins tagged with fluorescent proteins. Multiple proteins that are distinguishable by the excitation and emission spectra of their tags can be simultaneously expressed. This makes it possible to relate the spatial and temporal patterns of their chemoattractant-induced translocation to each other in one cell by a single recording. Since actin polymerization in live cells progresses with velocities of about 3 mum/s, high image frequencies and short acquisition times in the millisecond range are required. Techniques of total internal reflection fluorescence (TIRF) and spinning-disc confocal microscopy provide appropriate temporal and spatial resolution for the analysis of actin dynamics.
9018	Gilbert, O. M.	2009	19243508	Discovery of a large clonal patch of a social amoeba: implications for social evolution	Studies of genetic population structures of clonally reproducing macro-organisms have revealed large areas where only one clone is found. These areas, referred to as clonal patches, have not been shown to occur in free-living microbes until now. In free-living microbes, high genetic diversity at local scales is usually maintained by high rates of dispersal. We report, however, a highly dense, 12-m clonal patch of the social amoeba Dictyostelium discoideum in a cattle pasture located in a Texas Gulf Coast prairie. We confirm the presence of only one clone by the analysis of 65 samples and amplification of 10 polymorphic microsatellite loci. Samplings of additional cattle pastures nearby showed higher clonal diversity, but with a density of D. discoideum isolates lower than in the clonal patch. These findings show that high rates of microbial dispersal do not always produce genetic diversity at local scales, contrary to the findings of previous studies. The existence of clonal patches may be particularly important for microbial social evolution.
9077	Giusti, C.	2009	18951891	Necrotic cell death: From reversible mitochondrial uncoupling to irreversible lysosomal permeabilization	Dictyostelium atg1- mutant cells provide an experimentally and genetically favorable model to study necrotic cell death (NCD) with no interference from apoptosis or autophagy. In such cells subjected to starvation and cAMP, induction by the differentiation-inducing factor DIF or by classical uncouplers led within minutes to mitochondrial uncoupling, which causally initiated NCD. We now report that (1) in this model, NCD included a mitochondrial-lysosomal cascade of events, (2) mitochondrial uncoupling and therefore initial stages of death showed reversibility for a surprisingly long time, (3) subsequent lysosomal permeabilization could be demonstrated using Lysosensor blue, acridin orange, Texas red-dextran and cathepsin B substrate, (4) this lysosomal permeabilization was irreversible, and (5) the presence of the uncoupler was required to maintain mitochondrial lesions but also to induce lysosomal lesions, suggesting that signaling from mitochondria to lysosomes must be sustained by the continuous presence of the uncoupler. These results further characterized the NCD pathway in this priviledged model, contributed to a definition of NCD at the lysosomal level, and suggested that in mammalian NCD even late reversibility attempts by removal of the inducer may be of therapeutic interest.
9029	Glockner, G.	2009	19179372	Centromere sequence and dynamics in Dictyostelium discoideum	Centromeres play a pivotal role in the life of a eukaryote cell, perform an essential and conserved function, but this has not led to a standard centromere structure. It remains currently unclear, how the centromeric function is achieved by widely differing structures. Since centromeres are often large and consist mainly of repetitive sequences they have only been analyzed in great detail in a handful of organisms. The genome of Dictyostelium discoideum, a valuable model organism, was described a few years ago but its centromere organization remained largely unclear. Using available sequence information we reconstructed the putative centromere organization in three of the six chromosomes of D. discoideum. They mainly consist of one type of transposons that is confined to centromeric regions. Centromeres are dynamic due to transposon integration, but an optimal centromere size seems to exist in D. discoideum. One centromere probably has expanded recently, whereas another underwent major rearrangements. In addition to insights into the centromere organization and dynamics of a protist eukaryote, this work also provides a starting point for the analysis of the evolution of centromere structures in social amoebas by comparative genomics.
9017	Gross, J. D.	2009	19252125	Acidic Ca2+ stores, excitability and cell patterning in Dictyostelium discoideum	Dictyostelium discoideum is best known for its self-organising behaviour as seen in the striking wave patterns formed during cell-to-cell relay of chemotactic cyclic AMP signals, and in the stable division of the resulting aggregates into distinct anterior and posterior zones.
9011	Hagedorn, M.	2009	19325115	Infection by tubercular mycobacteria is spread by nonlytic ejection from their amoeba hosts	To generate efficient vaccines and cures for Mycobacterium tuberculosis, we need a far better understanding of its modes of infection, persistence, and spreading. Host cell entry and the establishment of a replication niche are well understood, but little is known about how tubercular mycobacteria exit host cells and disseminate the infection. Using the social amoeba Dictyostelium as a genetically tractable host for pathogenic mycobacteria, we discovered that M. tuberculosis and M. marinum, but not M. avium, are ejected from the cell through an actin-based structure, the ejectosome. This conserved nonlytic spreading mechanism requires a cytoskeleton regulator from the host and an intact mycobacterial ESX-1 secretion system. This insight offers new directions for research into the spreading of tubercular mycobacteria infections in mammalian cells.
9448	Hanel, F.	2009		Characterization of LC-FACS proteins in Dictyostelium discoideum	Long-Chain-Fatty Acyl-CoA Synthetases (LC-FACS) catalyze the activation of fatty acids (FAs) consisting of 16 to 22 C-atoms by adding a Coenzyme A to the C1 atom of the FA. This activation is required for storage of FAs as triacylgylcerol or their degradation in the
